狮子王,8.9,270896,1994,美国,剧情 动画 冒险 歌舞 家庭,动物版《哈姆雷特》。
辩护人,9.1,188264,2013,韩国,剧情,电影的现实意义大过电影本身。
被嫌弃的松子的一生,8.9,266449,2006,日本,剧情 歌舞,以戏谑来戏谑戏谑。
致命魔术,8.8,326381,2006,美国 英国,剧情 悬疑 惊悚,孪生蝙蝠侠大战克隆金刚狼。
饮食男女,9.0,183559,1994,台湾 美国,剧情 家庭,人生不能像做菜，把所有的料都准备好了才下锅。
勇敢的心,8.8,287190,1995,美国,动作 传记 剧情 历史 战争,史诗大片的典范。
剪刀手爱德华,8.7,466631,1990,美国,剧情 奇幻 爱情,浪漫忧郁的成人童话。
小鞋子,9.2,130161,1997,伊朗,剧情 家庭 儿童,奔跑的孩子是天使。
音乐之声,8.9,223483,1965,美国,剧情 爱情 歌舞 家庭 传记,用音乐化解仇恨，让歌声串起美好。
低俗小说,8.7,319203,1994,美国,剧情 喜剧 犯罪,故事的高级讲法。
入殓师,8.8,309047,2008,日本,剧情,死可能是一道门，逝去并不是终结，而是超越，走向下一程。
本杰明·巴顿奇事,8.7,378035,2008,美国,剧情 爱情 奇幻,在时间之河里感受溺水之苦。
沉默的羔羊,8.7,337825,1991,美国,剧情 犯罪 惊悚,安东尼·霍普金斯的顶级表演。
黑客帝国,8.8,267430,1999,美国 澳大利亚,动作 科幻,视觉革命。
蝴蝶效应,8.7,365686,2004,美国 加拿大,剧情 悬疑 科幻 惊悚,人的命运被自己瞬间的抉择改变。
拯救大兵瑞恩,8.8,224736,1998,美国,剧情 历史 战争,美利坚精神输出大片No1.
素媛,9.1,163463,2013,韩国,剧情 家庭,受过伤害的人总是笑得最开心，因为他们不愿意让身边的人承受一样的痛苦。
西西里的美丽传说,8.7,327996,2000,意大利 美国,剧情 战争 情色,美丽无罪。
玛丽和马克思,8.9,226075,2009,澳大利亚,剧情 爱情 动画,你是我最好的朋友，你是我唯一的朋友 。
心灵捕手,8.7,257370,1997,美国,剧情,人生中应该拥有这样的一段豁然开朗。
幽灵公主,8.8,223945,1997,日本,动画 冒险 奇幻,人与自然的战争史诗。
第六感,8.8,223112,1999,美国,剧情 悬疑 恐怖,深入内心的恐怖，出人意料的结局。
春光乍泄,8.8,230939,1997,香港 日本 韩国,剧情 爱情 同性,爱情纠缠，男女一致。
阳光灿烂的日子,8.7,257794,1994,中国大陆 香港,剧情,一场华丽的意淫。
让子弹飞,8.7,596856,2010,中国大陆 香港,剧情 喜剧 动作 西部,你给我翻译翻译，神马叫做TMD的惊喜。
大闹天宫,9.2,92002,1961 / 1964 / 1978 / 2004,中国大陆,动画 奇幻,经典之作，历久弥新。
大鱼,8.7,240237,2003,美国,剧情 家庭 奇幻 冒险,抱着梦想而活着的人是幸福的，怀抱梦想而死去的人是不朽的。
射雕英雄传之东成西就,8.7,262359,1993,香港,喜剧 古装,百看不厌。 
重庆森林,8.6,310367,1994,香港,剧情 爱情,寂寞没有期限。
疯狂动物城,9.2,463731,2016,美国,喜剧 动作 动画 冒险,无
阳光姐妹淘,8.8,255252,2011,韩国,剧情 喜剧,再多各自牛逼的时光，也比不上一起傻逼的岁月。 
上帝之城,8.9,151881,2002,巴西 法国,犯罪 剧情,被上帝抛弃了的上帝之城。
禁闭岛,8.6,339296,2010,美国,剧情 悬疑 惊悚,昔日翩翩少年，今日大腹便便。
甜蜜蜜,8.7,222419,1996,香港,剧情 爱情,相逢只要一瞬间，等待却像是一辈子。
致命ID,8.6,300692,2003,美国,剧情 悬疑 惊悚,最不可能的那个人永远是最可能的。
告白,8.7,323295,2010,日本,剧情 惊悚,没有一人完全善，也没有一人完全恶。
一一,8.9,146186,2000,台湾 日本,剧情 爱情 家庭,我们都曾经是一一。
加勒比海盗,8.6,324075,2003,美国,动作 冒险 奇幻,约翰尼·德普的独角戏。
狩猎,9.0,115668,2012,丹麦 瑞典,剧情,人言可畏。
布达佩斯大饭店,8.7,288233,2014,美国 德国 英国,剧情 喜剧,小清新的故事里注入了大历史的情怀。
爱在黎明破晓前,8.7,207349,1995,美国 奥地利 瑞士,剧情 爱情,缘分是个连绵词，最美不过一瞬。
断背山,8.6,302428,2005,美国 加拿大,剧情 爱情 同性 家庭,每个人心中都有一座断背山。
阿凡达,8.6,504995,2009,美国 英国,动作 冒险 奇幻 科幻,绝对意义上的美轮美奂。
风之谷,8.8,167067,1984,日本,科幻 动画 奇幻 冒险,动画片的圣经。
摩登时代,9.2,81649,1936,美国,喜剧 剧情 爱情,大时代中的人生，小人物的悲喜。
末代皇帝,8.8,151243,1987,意大利 中国大陆 英国 法国,剧情 传记 历史,“不要跟我比惨，我比你更惨”再适合这部电影不过了。
猫鼠游戏,8.7,206002,2002,美国 加拿大,传记 犯罪 剧情,骗子大师和执著警探的你追我跑故事。 
爱在日落黄昏时,8.7,188477,2004,美国,剧情 爱情,九年后的重逢是世俗和责任的交叠，没了悸动和青涩，沧桑而温暖。
萤火虫之墓,8.7,193949,1988,日本,动画 剧情 战争,幸福是生生不息，却难以触及的远。 
侧耳倾听,8.8,157891,1995,日本,剧情 爱情 动画 音乐,少女情怀总是诗。
哈利·波特与魔法石,8.6,233415,2001,美国 英国,奇幻 冒险,童话世界的开端。
驯龙高手,8.7,269647,2010,美国,喜剧 动画 奇幻 冒险 家庭,和谐的生活离不开摸头与被摸头。
超脱,8.7,161927,2011,美国,剧情,穷尽一生，我们要学会的，不过是彼此拥抱。
穿条纹睡衣的男孩,8.8,130155,2008,英国 美国,剧情 战争,尽管有些不切实际的幻想，这部电影依旧是一部感人肺腑的佳作。
海洋,9.0,95694,2009,法国 瑞士 西班牙 美国 阿联酋,纪录片,大海啊，不全是水。
幸福终点站,8.6,215406,2004,美国,喜剧 剧情 爱情,有时候幸福需要等一等。 
菊次郎的夏天,8.7,168583,1999,日本,剧情 喜剧,从没见过那么流氓的温柔，从没见过那么温柔的流氓。
消失的爱人,8.7,328264,2014,美国,剧情 犯罪 悬疑 惊悚,无
