肖申克的救赎,9.6,833069,1994,美国,犯罪 剧情,希望让人自由。
这个杀手不太冷,9.4,799185,1994,法国,剧情 动作 犯罪,怪蜀黍和小萝莉不得不说的故事。
霸王别姬,9.5,595660,1993,中国大陆 香港,剧情 爱情 同性,风华绝代。
阿甘正传,9.4,684515,1994,美国,剧情 爱情,一部美国近现代史。
美丽人生,9.5,397936,1997,意大利,剧情 喜剧 爱情 战争,最美的谎言。
千与千寻,9.2,636244,2001,日本,剧情 动画 奇幻,最好的宫崎骏，最好的久石让。 
辛德勒的名单,9.4,368118,1993,美国,剧情 历史 战争,拯救一个人，就是拯救整个世界。
泰坦尼克号,9.2,629741,1997,美国,剧情 爱情 灾难,失去的才是永恒的。 
盗梦空间,9.2,737495,2010,美国 英国,剧情 动作 科幻 悬疑 冒险,诺兰给了我们一场无法盗取的梦。
机器人总动员,9.3,484132,2008,美国,喜剧 爱情 科幻 动画 冒险,小瓦力，大人生。
海上钢琴师,9.2,581829,1998,意大利,剧情 音乐,每个人都要走一条自己坚定了的路，就算是粉身碎骨。 
三傻大闹宝莱坞,9.1,648346,2009,印度,剧情 喜剧 爱情 歌舞,英俊版憨豆，高情商版谢耳朵。
忠犬八公的故事,9.2,435228,2009,美国 英国,剧情,永远都不能忘记你所爱的人。
放牛班的春天,9.2,435994,2004,法国 瑞士 德国,剧情 音乐,天籁一般的童声，是最接近上帝的存在。 
大话西游之大圣娶亲,9.2,469449,1995,香港 中国大陆,动作 冒险 喜剧 奇幻 爱情,一生所爱。
教父,9.2,332282,1972,美国,剧情 犯罪,千万不要记恨你的对手，这样会让你失去理智。
龙猫,9.1,404134,1988,日本,动画 奇幻,人人心中都有个龙猫，童年就永远不会消失。
楚门的世界,9.0,433397,1998,美国,剧情 科幻,如果再也不能见到你，祝你早安，午安，晚安。
乱世佳人,9.2,263125,1940,美国,剧情 爱情 战争,Tomorrow is another day.
天堂电影院,9.1,300928,1988,意大利 法国,剧情 爱情,那些吻戏，那些青春，都在影院的黑暗里被泪水冲刷得无比清晰。
当幸福来敲门,8.9,521828,2006,美国,剧情 传记 家庭,平民励志片。 
触不可及,9.1,353679,2011,法国,剧情 喜剧,满满温情的高雅喜剧。
搏击俱乐部,9.0,393997,1999,美国 德国,剧情 动作 悬疑 惊悚,邪恶与平庸蛰伏于同一个母体，在特定的时间互相对峙。
十二怒汉,9.3,164528,1957,美国,剧情,1957年的理想主义。 
无间道,9.0,382662,2002,香港,犯罪 悬疑 惊悚,香港电影史上永不过时的杰作。
熔炉,9.2,235284,2011,韩国,剧情,我们一路奋战不是为了改变世界，而是为了不让世界改变我们。
指环王3：王者无敌,9.1,276495,2003,美国 新西兰,剧情 动作 奇幻 冒险,史诗的终章。
怦然心动,8.9,521639,2010,美国,剧情 喜剧 爱情,真正的幸福是来自内心深处。
天空之城,9.0,320509,1986,日本,动画 奇幻 冒险,对天空的追逐，永不停止。 
罗马假日,8.9,373639,1953,美国,喜剧 剧情 爱情,爱情哪怕只有一天。
少年派的奇幻漂流,9.0,561461,2012,美国 台湾 英国 加拿大,剧情 奇幻 冒险,瑰丽壮观、无人能及的冒险之旅。
鬼子来了,9.1,218050,2000,中国大陆,剧情 战争,对敌人的仁慈，就是对自己残忍。
星际穿越,9.1,462403,2014,美国 英国 加拿大,剧情 科幻 悬疑 冒险 家庭,爱是一种力量，让我们超越时空感知它的存在。
大话西游之月光宝盒,8.9,380916,1995,香港 中国大陆,喜剧 动作 爱情 奇幻 冒险 古装,旷古烁今。
蝙蝠侠：黑暗骑士,9.0,304353,2008,美国 英国,剧情 动作 科幻 犯罪 惊悚,无尽的黑暗。
两杆大烟枪,9.0,265244,1998,英国,剧情 喜剧 犯罪,4个臭皮匠顶个诸葛亮，盖·里奇果然不是盖的。
飞屋环游记,8.9,482617,2009,美国,剧情 喜剧 动画 奇幻 冒险,最后那些最无聊的事情，才是最值得怀念的。 
活着,9.0,253218,1994,中国大陆 香港,剧情 家庭,张艺谋最好的电影。
飞越疯人院,9.0,268930,1975,美国,剧情,自由万岁。
窃听风暴,9.1,212854,2006,德国,剧情 悬疑,别样人生。
海豚湾,9.3,176923,2009,美国,纪录片,海豚的微笑，是世界上最高明的伪装。
闻香识女人,8.9,309449,1992,美国,剧情,史上最美的探戈。
V字仇杀队,8.8,396907,2005,美国 英国 德国,剧情 动作 科幻 惊悚,一张面具背后的理想与革命。
美丽心灵,8.9,293955,2001,美国,传记 剧情,爱是一切逻辑和原由。
教父2,9.1,179142,1974,美国,剧情 犯罪,优雅的孤独。
哈尔的移动城堡,8.8,332609,2004,日本,爱情 动画 奇幻 冒险,带着心爱的人在天空飞翔。
指环王2：双塔奇兵,8.9,261151,2002,美国 新西兰,剧情 动作 奇幻 冒险,承前启后的史诗篇章。
指环王1：魔戒再现,8.9,291443,2001,新西兰 美国,剧情 动作 奇幻 冒险,传说的开始。
天使爱美丽,8.7,465492,2001,法国 德国,喜剧 爱情,法式小清新。 
情书,8.8,358495,1995,日本,剧情 爱情,暗恋的极致。
死亡诗社,8.9,264413,1989,美国,剧情,当一个死水般的体制内出现一个活跃的变数时，所有的腐臭都站在了光明的对面。
美国往事,9.1,167135,1984,意大利 美国,犯罪 剧情,往事如烟，无处祭奠。
七宗罪,8.7,419715,1995,美国,剧情 犯罪 悬疑 惊悚,警察抓小偷，老鼠玩死猫。
钢琴家,9.0,194916,2002,法国 德国 英国 波兰,剧情 传记 历史 战争,音乐能化解仇恨。
狮子王,8.9,269803,1994,美国,剧情 动画 冒险 歌舞 家庭,动物版《哈姆雷特》。
控方证人,9.6,76397,1957,美国,剧情 犯罪 悬疑,比利·怀德满分作品。
辩护人,9.1,186870,2013,韩国,剧情,电影的现实意义大过电影本身。
被嫌弃的松子的一生,8.9,264611,2006,日本,剧情 歌舞,以戏谑来戏谑戏谑。
致命魔术,8.8,324804,2006,美国 英国,剧情 悬疑 惊悚,孪生蝙蝠侠大战克隆金刚狼。
勇敢的心,8.8,286092,1995,美国,动作 传记 剧情 历史 战争,史诗大片的典范。
剪刀手爱德华,8.7,464879,1990,美国,剧情 奇幻 爱情,浪漫忧郁的成人童话。
饮食男女,9.0,180734,1994,台湾 美国,剧情 家庭,人生不能像做菜，把所有的料都准备好了才下锅。
小鞋子,9.2,129428,1997,伊朗,剧情 家庭 儿童,奔跑的孩子是天使。
音乐之声,8.9,222607,1965,美国,剧情 爱情 歌舞 家庭 传记,用音乐化解仇恨，让歌声串起美好。
低俗小说,8.7,317062,1994,美国,剧情 喜剧 犯罪,故事的高级讲法。
入殓师,8.8,307960,2008,日本,剧情,死可能是一道门，逝去并不是终结，而是超越，走向下一程。
本杰明·巴顿奇事,8.7,376640,2008,美国,剧情 爱情 奇幻,在时间之河里感受溺水之苦。
沉默的羔羊,8.7,335517,1991,美国,剧情 犯罪 惊悚,安东尼·霍普金斯的顶级表演。
蝴蝶效应,8.7,364301,2004,美国 加拿大,剧情 悬疑 科幻 惊悚,人的命运被自己瞬间的抉择改变。
黑客帝国,8.8,265925,1999,美国 澳大利亚,动作 科幻,视觉革命。
拯救大兵瑞恩,8.8,223651,1998,美国,剧情 历史 战争,美利坚精神输出大片No1.
素媛,9.1,162199,2013,韩国,剧情 家庭,受过伤害的人总是笑得最开心，因为他们不愿意让身边的人承受一样的痛苦。
西西里的美丽传说,8.7,325909,2000,意大利 美国,剧情 战争 情色,美丽无罪。
玛丽和马克思,8.9,225489,2009,澳大利亚,剧情 爱情 动画,你是我最好的朋友，你是我唯一的朋友 。
心灵捕手,8.7,256019,1997,美国,剧情,人生中应该拥有这样的一段豁然开朗。
幽灵公主,8.8,222976,1997,日本,动画 冒险 奇幻,人与自然的战争史诗。
第六感,8.8,221957,1999,美国,剧情 悬疑 恐怖,深入内心的恐怖，出人意料的结局。
阳光灿烂的日子,8.7,256652,1994,中国大陆 香港,剧情,一场华丽的意淫。
春光乍泄,8.8,229483,1997,香港 日本 韩国,剧情 爱情 同性,爱情纠缠，男女一致。
让子弹飞,8.7,595002,2010,中国大陆 香港,剧情 喜剧 动作 西部,你给我翻译翻译，神马叫做TMD的惊喜。
大闹天宫,9.2,91411,1961 / 1964 / 1978 / 2004,中国大陆,动画 奇幻,经典之作，历久弥新。
大鱼,8.7,238891,2003,美国,剧情 家庭 奇幻 冒险,抱着梦想而活着的人是幸福的，怀抱梦想而死去的人是不朽的。
射雕英雄传之东成西就,8.7,261221,1993,香港,喜剧 古装,百看不厌。 
重庆森林,8.6,308456,1994,香港,剧情 爱情,寂寞没有期限。
阳光姐妹淘,8.8,254219,2011,韩国,剧情 喜剧,再多各自牛逼的时光，也比不上一起傻逼的岁月。 
